entity_id,state,last_changed
sensor.esphome_web_87cd6c_cisterna,15.69,2024-06-06T11:00:00.000Z
sensor.esphome_web_87cd6c_cisterna,16.21,2024-06-06T11:00:01.293Z
sensor.esphome_web_87cd6c_cisterna,15.75,2024-06-06T11:00:03.249Z
sensor.esphome_web_87cd6c_cisterna,14.71,2024-06-06T11:00:07.244Z
sensor.esphome_web_87cd6c_cisterna,16.01,2024-06-06T11:00:09.263Z
sensor.esphome_web_87cd6c_cisterna,15.75,2024-06-06T11:00:11.243Z
sensor.esphome_web_87cd6c_cisterna,15.62,2024-06-06T11:00:13.254Z
sensor.esphome_web_87cd6c_cisterna,15.56,2024-06-06T11:00:15.300Z
sensor.esphome_web_87cd6c_cisterna,14.58,2024-06-06T11:00:17.246Z
sensor.esphome_web_87cd6c_cisterna,14.97,2024-06-06T11:00:19.290Z
sensor.esphome_web_87cd6c_cisterna,14.90,2024-06-06T11:00:21.248Z
sensor.esphome_web_87cd6c_cisterna,16.47,2024-06-06T11:00:23.282Z
sensor.esphome_web_87cd6c_cisterna,16.34,2024-06-06T11:00:25.244Z
sensor.esphome_web_87cd6c_cisterna,16.47,2024-06-06T11:00:27.284Z
sensor.esphome_web_87cd6c_cisterna,15.75,2024-06-06T11:00:29.247Z
sensor.esphome_web_87cd6c_cisterna,16.54,2024-06-06T11:00:31.264Z
sensor.esphome_web_87cd6c_cisterna,16.21,2024-06-06T11:00:33.244Z
sensor.esphome_web_87cd6c_cisterna,15.62,2024-06-06T11:00:35.270Z
sensor.esphome_web_87cd6c_cisterna,16.80,2024-06-06T11:00:37.301Z
sensor.esphome_web_87cd6c_cisterna,15.56,2024-06-06T11:00:39.246Z
sensor.esphome_web_87cd6c_cisterna,15.75,2024-06-06T11:00:41.293Z
sensor.esphome_web_87cd6c_cisterna,15.49,2024-06-06T11:00:43.249Z
sensor.esphome_web_87cd6c_cisterna,15.16,2024-06-06T11:00:45.284Z
sensor.esphome_web_87cd6c_cisterna,15.56,2024-06-06T11:00:47.244Z
sensor.esphome_web_87cd6c_cisterna,15.49,2024-06-06T11:00:49.275Z
sensor.esphome_web_87cd6c_cisterna,15.69,2024-06-06T11:00:51.248Z
sensor.esphome_web_87cd6c_cisterna,16.27,2024-06-06T11:00:53.266Z
sensor.esphome_web_87cd6c_cisterna,16.47,2024-06-06T11:00:55.248Z
sensor.esphome_web_87cd6c_cisterna,14.90,2024-06-06T11:00:57.258Z
sensor.esphome_web_87cd6c_cisterna,15.49,2024-06-06T11:00:59.305Z
sensor.esphome_web_87cd6c_cisterna,14.58,2024-06-06T11:01:01.259Z
sensor.esphome_web_87cd6c_cisterna,15.88,2024-06-06T11:01:03.308Z
sensor.esphome_web_87cd6c_cisterna,16.27,2024-06-06T11:01:05.251Z
sensor.esphome_web_87cd6c_cisterna,15.42,2024-06-06T11:01:07.286Z
sensor.esphome_web_87cd6c_cisterna,16.01,2024-06-06T11:01:09.246Z
sensor.esphome_web_87cd6c_cisterna,15.23,2024-06-06T11:01:11.290Z
sensor.esphome_web_87cd6c_cisterna,16.47,2024-06-06T11:01:13.245Z
sensor.esphome_web_87cd6c_cisterna,15.36,2024-06-06T11:01:15.282Z
sensor.esphome_web_87cd6c_cisterna,15.23,2024-06-06T11:01:17.244Z
sensor.esphome_web_87cd6c_cisterna,16.54,2024-06-06T11:01:19.260Z
sensor.esphome_web_87cd6c_cisterna,15.88,2024-06-06T11:01:21.304Z
sensor.esphome_web_87cd6c_cisterna,16.60,2024-06-06T11:01:23.250Z
sensor.esphome_web_87cd6c_cisterna,14.97,2024-06-06T11:01:25.298Z
sensor.esphome_web_87cd6c_cisterna,16.01,2024-06-06T11:01:27.254Z
sensor.esphome_web_87cd6c_cisterna,15.95,2024-06-06T11:01:29.305Z
sensor.esphome_web_87cd6c_cisterna,16.34,2024-06-06T11:01:31.252Z
sensor.esphome_web_87cd6c_cisterna,16.21,2024-06-06T11:01:33.280Z
sensor.esphome_web_87cd6c_cisterna,15.75,2024-06-06T11:01:35.248Z
sensor.esphome_web_87cd6c_cisterna,16.21,2024-06-06T11:01:37.269Z
sensor.esphome_web_87cd6c_cisterna,15.49,2024-06-06T11:01:39.248Z
sensor.esphome_web_87cd6c_cisterna,16.67,2024-06-06T11:01:41.260Z
sensor.esphome_web_87cd6c_cisterna,15.95,2024-06-06T11:01:43.244Z
sensor.esphome_web_87cd6c_cisterna,15.88,2024-06-06T11:01:45.269Z
sensor.esphome_web_87cd6c_cisterna,16.21,2024-06-06T11:01:47.309Z
sensor.esphome_web_87cd6c_cisterna,15.16,2024-06-06T11:01:49.255Z
sensor.esphome_web_87cd6c_cisterna,16.34,2024-06-06T11:01:51.288Z
sensor.esphome_web_87cd6c_cisterna,16.21,2024-06-06T11:01:53.248Z
sensor.esphome_web_87cd6c_cisterna,15.29,2024-06-06T11:01:55.279Z
sensor.esphome_web_87cd6c_cisterna,15.95,2024-06-06T11:01:57.250Z
sensor.esphome_web_87cd6c_cisterna,15.56,2024-06-06T11:01:59.272Z
sensor.esphome_web_87cd6c_cisterna,15.42,2024-06-06T11:02:01.257Z
sensor.esphome_web_87cd6c_cisterna,14.71,2024-06-06T11:02:03.264Z
sensor.esphome_web_87cd6c_cisterna,16.41,2024-06-06T11:02:05.308Z
sensor.esphome_web_87cd6c_cisterna,16.67,2024-06-06T11:02:07.252Z
sensor.esphome_web_87cd6c_cisterna,15.10,2024-06-06T11:02:09.299Z
sensor.esphome_web_87cd6c_cisterna,16.08,2024-06-06T11:02:11.258Z
sensor.esphome_web_87cd6c_cisterna,15.36,2024-06-06T11:02:13.291Z
sensor.esphome_web_87cd6c_cisterna,16.34,2024-06-06T11:02:15.253Z
sensor.esphome_web_87cd6c_cisterna,17.06,2024-06-06T11:02:17.281Z
sensor.esphome_web_87cd6c_cisterna,15.10,2024-06-06T11:02:19.246Z
sensor.esphome_web_87cd6c_cisterna,15.16,2024-06-06T11:02:21.272Z
sensor.esphome_web_87cd6c_cisterna,15.69,2024-06-06T11:02:23.248Z
sensor.esphome_web_87cd6c_cisterna,16.47,2024-06-06T11:02:25.263Z
sensor.esphome_web_87cd6c_cisterna,15.95,2024-06-06T11:02:27.245Z
sensor.esphome_web_87cd6c_cisterna,15.23,2024-06-06T11:02:29.255Z
sensor.esphome_web_87cd6c_cisterna,15.75,2024-06-06T11:02:31.303Z
sensor.esphome_web_87cd6c_cisterna,16.21,2024-06-06T11:02:33.260Z
sensor.esphome_web_87cd6c_cisterna,16.41,2024-06-06T11:02:35.304Z
sensor.esphome_web_87cd6c_cisterna,15.49,2024-06-06T11:02:37.249Z
sensor.esphome_web_87cd6c_cisterna,16.01,2024-06-06T11:02:39.284Z
sensor.esphome_web_87cd6c_cisterna,14.84,2024-06-06T11:02:41.244Z
sensor.esphome_web_87cd6c_cisterna,16.73,2024-06-06T11:02:43.274Z
sensor.esphome_web_87cd6c_cisterna,16.47,2024-06-06T11:02:45.244Z
sensor.esphome_web_87cd6c_cisterna,15.29,2024-06-06T11:02:47.266Z
sensor.esphome_web_87cd6c_cisterna,14.71,2024-06-06T11:02:49.243Z
sensor.esphome_web_87cd6c_cisterna,15.03,2024-06-06T11:02:51.257Z
sensor.esphome_web_87cd6c_cisterna,15.23,2024-06-06T11:02:53.304Z
sensor.esphome_web_87cd6c_cisterna,16.41,2024-06-06T11:02:55.249Z
sensor.esphome_web_87cd6c_cisterna,15.75,2024-06-06T11:02:57.294Z
sensor.esphome_web_87cd6c_cisterna,15.95,2024-06-06T11:02:59.250Z
sensor.esphome_web_87cd6c_cisterna,16.14,2024-06-06T11:03:01.285Z
sensor.esphome_web_87cd6c_cisterna,15.49,2024-06-06T11:03:03.256Z
